"","Coefficient","zip"
"1075",0.39197,4095
"1076",0.07606,4096
"1077",0.07606,4097
"1078",0.07606,4101
"1079",0.39197,4102
"1080",0.07606,4103
"1081",0.07606,4105
"1082",0.39197,4106
"1083",0.39197,4107
"1084",0.07606,4108
"1085",0.07606,4109
"1086",0.07606,4110
"1087",0.07606,4210
"1088",0.07606,4216
"1089",0.07606,4217
"1090",0.07606,4219
"1091",0.07606,4220
"1092",0.07606,4221
"1093",0.07606,4222
"1094",0.07606,4224
"1095",0.07606,4226
"1096",0.07606,4227
"1097",0.07606,4228
"1098",0.07606,4231
"1099",0.07606,4234
"1100",0.07606,4236
"1101",0.07606,4237
"1102",0.07606,4238
"1103",0.07606,4239
"1104",0.07606,4240
"1105",0.07606,4250
"1106",0.07606,4252
"1107",0.07606,4253
"1108",0.07606,4254
"1109",0.07606,4255
"1110",0.07606,4256
"1111",0.07606,4257
"1112",0.07606,4258
"1113",0.07606,4259
"1114",0.07606,4260
"1115",0.04023,4261
"1116",0.07606,4263
"1117",0.07606,4265
"1118",0.07606,4267
"1119",0.07606,4268
"1120",0.07606,4270
"1121",0.07606,4271
"1122",0.07606,4274
"1123",0.07606,4275
"1124",0.07606,4276
"1125",0.07606,4280
"1126",0.07606,4281
"1127",0.07606,4282
"1128",0.07606,4284
"1129",0.07606,4285
"1130",0.07606,4286
"1131",0.07606,4287
"1132",0.07606,4289
"1133",0.07606,4290
"1134",0.07606,4292
"1135",0.07606,4294
"1136",0.07606,4330
"1137",0.07606,4342
"1138",0.07606,4343
"1139",0.07606,4344
"1140",0.07606,4345
"1141",0.07606,4346
"1142",0.07606,4347
"1143",0.07606,4348
"1144",0.07606,4349
"1145",0.07606,4350
"1146",0.07606,4351
"1147",0.07606,4352
"1148",0.07606,4353
"1149",0.07606,4354
"1150",0.07606,4355
"1151",0.07606,4357
"1152",0.07606,4358
"1153",0.07606,4359
"1154",0.07606,4360
"1155",0.07606,4363
"1156",0.07606,4364
"1157",0.06002,4401
"1158",0.07606,4406
"1159",0.06002,4408
"1160",0.06002,4410
"1161",0.06002,4411
"1162",0.06002,4412
"1163",0.06002,4413
"1164",0.06002,4414
"1165",0.06002,4415
"1166",0.06002,4416
"1167",0.06002,4417
"1168",0.06002,4418
"1169",0.06002,4419
"1170",0.06002,4421
"1171",0.06002,4422
"1172",0.06002,4424
"1173",0.06002,4426
"1174",0.06002,4427
"1175",0.06002,4428
"1176",0.06002,4429
"1177",0.06002,4430
"1178",0.06002,4431
"1179",0.07606,4434
"1180",0.06002,4435
"1181",0.06002,4438
"1182",0.07606,4441
"1183",0.07606,4442
"1184",0.06002,4443
"1185",0.06002,4444
"1186",0.06002,4448
"1187",0.06002,4449
"1188",0.06002,4450
"1189",0.06002,4451
"1190",0.06002,4453
"1191",0.06002,4454
"1192",0.06002,4455
"1193",0.06002,4456
"1194",0.06002,4457
"1195",0.06002,4459
"1196",0.06002,4460
"1197",0.06002,4461
"1198",0.06002,4462
"1199",0.06002,4463
"1200",0.06002,4464
"1201",0.06002,4468
"1202",0.06002,4469
"1203",0.06002,4471
"1204",0.06002,4472
"1205",0.06002,4473
"1206",0.06002,4474
"1207",0.06002,4475
"1208",0.06002,4476
"1209",0.07606,4478
"1210",0.06002,4479
"1211",0.06002,4481
"1212",0.07606,4485
"1213",0.06002,4487
"1214",0.06002,4488
"1215",0.06002,4489
"1216",0.06002,4490
"1217",0.06002,4491
"1218",0.06002,4492
"1219",0.06002,4493
"1220",0.06002,4495
"1221",0.06002,4496
"1222",0.06002,4497
"1223",0.07606,4530
"1224",0.07606,4535
"1225",0.07606,4537
"1226",0.07606,4538
"1227",0.07606,4539
"1228",0.07606,4541
"1229",0.07606,4543
"1230",0.07606,4544
"1231",0.07606,4547
"1232",0.07606,4548
"1233",0.07606,4551
"1234",0.07606,4553
"1235",0.07606,4554
"1236",0.07606,4555
"1237",0.07606,4556
"1238",0.07606,4558
"1239",0.07606,4562
"1240",0.07606,4563
"1241",0.07606,4564
"1242",0.07606,4568
"1243",0.07606,4570
"1244",0.07606,4571
"1245",0.07606,4572
"1246",0.07606,4573
"1247",0.07606,4574
"1248",0.07606,4575
"1249",0.07606,4576
"1250",0.07606,4578
"1251",0.07606,4579
"1252",0.06002,4605
"1253",0.06002,4606
"1254",0.06002,4607
"1255",0.06002,4609
"1256",0.06002,4611
"1257",0.06002,4612
"1258",0.06002,4613
"1259",0.06002,4614
"1260",0.06002,4616
"1261",0.06002,4617
"1262",0.06002,4619
"1263",0.06002,4622
"1264",0.06002,4623
"1265",0.06002,4624
"1266",0.06002,4625
"1267",0.06002,4626
"1268",0.06002,4627
"1269",0.06002,4628
"1270",0.06002,4629
"1271",0.06002,4630
"1272",0.06002,4631
"1273",0.06002,4634
"1274",0.06002,4635
"1275",0.06002,4637
"1276",0.06002,4640
"1277",0.06002,4642
"1278",0.06002,4643
"1279",0.06002,4644
"1280",0.06002,4645
"1281",0.06002,4646
